날짜,종가,오픈,고가,저가,거래량,변동 %
2018-08-31,"2,003.55","1,975.69","2,003.55","1,973.24",34.19M,0.80%
2018-09-03,"1,982.73","1,996.01","1,996.46","1,978.43",24.88M,-1.04%
2018-09-04,"1,992.80","1,984.87","1,995.78","1,979.49",23.24M,0.51%
2018-09-05,"1,963.97","1,984.89","1,986.85","1,960.79",31.90M,-1.45%
2018-09-06,"1,958.64","1,956.71","1,968.00","1,951.87",33.78M,-0.27%
2018-09-07,"1,943.11","1,938.34","1,950.43","1,929.75",46.96M,-0.79%
2018-09-10,"1,946.88","1,940.73","1,949.92","1,939.65",30.88M,0.19%
2018-09-11,"1,935.94","1,944.28","1,953.96","1,930.81",33.00M,-0.56%
2018-09-12,"1,933.81","1,936.84","1,940.59","1,926.29",35.40M,-0.11%
2018-09-13,"1,932.07","1,934.35","1,940.05","1,928.31",47.47M,-0.09%
2018-09-14,"1,967.90","1,952.37","1,968.44","1,951.15",37.11M,1.85%
2018-09-17,"1,954.38","1,964.01","1,965.84","1,946.83",27.07M,-0.69%
2018-09-18,"1,961.46","1,939.25","1,964.69","1,939.25",34.62M,0.36%
2018-09-19,"1,969.19","1,973.00","1,973.00","1,959.80",39.49M,0.39%
2018-09-20,"1,989.98","1,974.37","1,999.53","1,972.81",41.80M,1.06%
2018-09-21,"2,000.10","1,992.05","2,000.10","1,986.39",59.20M,0.51%
2018-09-27,"2,010.67","1,989.45","2,010.67","1,989.29",51.46M,0.53%
2018-09-28,"1,992.62","2,008.76","2,009.46","1,988.87",53.26M,-0.90%
2018-10-01,"1,991.88","2,000.17","2,003.29","1,983.95",33.24M,-0.04%
2018-10-02,"1,965.48","1,993.16","1,996.20","1,964.74",33.17M,-1.33%
2018-10-04,"1,930.34","1,961.17","1,961.19","1,927.63",47.57M,-1.79%
2018-10-05,"1,930.13","1,930.22","1,939.67","1,918.29",39.40M,-0.01%
2018-10-08,"1,925.12","1,921.02","1,938.60","1,921.02",26.92M,-0.26%
2018-10-10,"1,918.72","1,927.63","1,931.29","1,912.26",48.87M,-0.33%
2018-10-11,"1,835.16","1,879.14","1,884.62","1,835.16",63.40M,-4.35%
2018-10-12,"1,864.05","1,840.15","1,877.68","1,838.22",46.24M,1.57%
2018-10-15,"1,847.45","1,856.59","1,857.67","1,842.38",31.26M,-0.89%
2018-10-16,"1,844.60","1,858.57","1,863.37","1,839.34",25.61M,-0.15%
2018-10-17,"1,866.00","1,864.66","1,877.78","1,860.24",32.92M,1.16%
2018-10-18,"1,848.81","1,855.59","1,864.87","1,848.45",30.04M,-0.92%
2018-10-19,"1,857.79","1,832.63","1,860.35","1,827.06",31.91M,0.49%
2018-10-22,"1,862.89","1,844.82","1,867.62","1,841.30",25.55M,0.27%
2018-10-23,"1,819.91","1,847.93","1,848.02","1,807.68",42.37M,-2.31%
2018-10-24,"1,809.99","1,828.57","1,828.97","1,805.27",46.54M,-0.55%
2018-10-25,"1,776.78","1,761.94","1,780.76","1,755.26",65.38M,-1.83%
2018-10-26,"1,756.66","1,779.04","1,779.04","1,740.07",51.92M,-1.13%
2018-10-29,"1,745.09","1,756.71","1,771.82","1,742.87",47.65M,-0.66%
2018-10-30,"1,761.16","1,738.04","1,777.90","1,738.04",53.50M,0.92%
2018-10-31,"1,770.64","1,770.12","1,770.64","1,750.19",52.07M,0.54%
2018-11-01,"1,762.26","1,776.09","1,788.49","1,761.39",40.90M,-0.47%
2018-11-02,"1,825.69","1,784.82","1,826.33","1,782.08",47.23M,3.60%
2018-11-05,"1,807.67","1,808.52","1,810.48","1,783.62",34.62M,-0.99%
2018-11-06,"1,816.47","1,812.55","1,818.48","1,795.31",27.35M,0.49%
2018-11-07,"1,813.06","1,813.27","1,829.31","1,809.64",35.92M,-0.19%
2018-11-08,"1,819.78","1,841.74","1,850.72","1,819.45",41.82M,0.37%
2018-11-09,"1,816.00","1,820.66","1,831.32","1,812.46",34.97M,-0.21%
2018-11-11,"1,816.00","1,816.00","1,816.00","1,816.00",,0.00%
2018-11-12,"1,818.41","1,797.03","1,822.71","1,797.03",35.85M,0.13%
2018-11-13,"1,803.97","1,787.83","1,805.01","1,770.82",36.65M,-0.79%
2018-11-14,"1,798.93","1,802.41","1,806.34","1,791.16",32.14M,-0.28%
2018-11-15,"1,812.77","1,791.34","1,813.82","1,789.51",27.96M,0.77%
2018-11-16,"1,811.51","1,823.01","1,825.76","1,807.17",27.74M,-0.07%
2018-11-18,"1,811.51","1,811.51","1,811.51","1,811.51",,0.00%
2018-11-19,"1,810.30","1,812.22","1,824.60","1,801.63",27.75M,-0.07%
2018-11-20,"1,787.91","1,781.92","1,795.11","1,780.65",33.22M,-1.24%
2018-11-21,"1,774.68","1,763.17","1,776.44","1,755.27",33.63M,-0.74%
2018-11-22,"1,774.47","1,776.51","1,782.04","1,769.89",26.39M,-0.01%
2018-11-23,"1,765.36","1,776.00","1,778.57","1,754.31",20.65M,-0.51%
2018-11-25,"1,765.36","1,765.36","1,765.36","1,765.36",,0.00%
2018-11-26,"1,787.72","1,763.28","1,787.90","1,763.28",29.34M,1.27%
2018-11-27,"1,805.43","1,795.26","1,807.06","1,785.19",31.45M,0.99%
2018-11-28,"1,814.10","1,808.22","1,815.08","1,800.08",32.00M,0.48%
2018-11-29,"1,818.27","1,838.81","1,841.86","1,812.92",33.99M,0.23%
2018-11-30,"1,795.70","1,821.06","1,829.50","1,792.73",55.23M,-1.24%
2018-12-02,"1,795.70","1,795.70","1,795.70","1,795.70",,0.00%
2018-12-03,"1,828.87","1,825.26","1,835.03","1,812.12",36.04M,1.85%
2018-12-04,"1,806.77","1,819.85","1,823.11","1,798.73",38.31M,-1.21%
