Date,Open,High,Low,Close,Volume,Change
2022-10-05,17100,17500,16850,17350,600287,0.017595307917888547
2022-10-06,17250,17550,17100,17450,363101,0.0057636887608070175
2022-10-07,17150,18100,17150,17500,358891,0.002865329512893977
2022-10-11,17050,17350,16450,16800,187790,-0.040000000000000036
2022-10-12,16700,17100,16050,16150,220507,-0.038690476190476164
2022-10-13,16300,16300,15150,15200,176433,-0.05882352941176472
2022-10-14,15650,16400,15650,16350,179695,0.07565789473684204
2022-10-17,15950,17000,15900,16850,186891,0.030581039755351647
2022-10-18,17100,17300,16550,17150,170013,0.017804154302670572
2022-10-19,16950,17300,16700,16850,168481,-0.017492711370262426
2022-10-20,16850,17000,16300,16650,78153,-0.011869436201780381
2022-10-21,16600,16900,16050,16100,82380,-0.033033033033033066
2022-10-24,16800,17000,16450,16700,128141,0.037267080745341685
2022-10-25,16750,18200,16750,18200,515481,0.08982035928143706
2022-10-26,17850,17950,17300,17650,314641,-0.030219780219780223
2022-10-27,18500,18700,16750,16850,596141,-0.04532577903682722
2022-10-28,16550,16700,15850,15850,214840,-0.05934718100890213
2022-10-31,16150,16250,15750,15950,94309,0.006309148264984188
2022-11-01,15850,16200,15800,16200,72010,0.01567398119122254
2022-11-02,16250,16250,15750,15900,78624,-0.01851851851851849
2022-11-03,15500,15900,15450,15850,55699,-0.0031446540880503138
2022-11-04,15750,15900,15550,15800,49664,-0.003154574132492094
2022-11-07,15950,16100,15850,15950,53208,0.009493670886076
2022-11-08,16050,16350,15900,15950,122899,0.0
2022-11-09,16100,16200,15950,16050,65652,0.006269592476489061
2022-11-10,15900,16050,15600,15700,66231,-0.02180685358255452
2022-11-11,16300,16350,16000,16250,124727,0.035031847133758065
